date,transaction_count,transaction_volume,successful_count,lost_revenue,failure_count,failure_rate,success_rate
2025-09-25,149,142427.33,143,29.53534,6,4.03,95.97
2025-09-26,289,316885.29,276,179.09327000000002,13,4.5,95.5
2025-09-27,270,332471.75,251,194.28898,19,7.04,92.96
2025-09-28,254,327238.46,231,928.82273,23,9.06,90.94
2025-09-29,300,322367.56,269,1071.0004500000002,31,10.33,89.67
2025-09-30,270,301745.92,257,1026.4367300000001,13,4.81,95.19
2025-10-01,251,338193.78,239,483.2386000000001,12,4.78,95.22
2025-10-02,271,290942.75,255,299.71703,16,5.9,94.1
2025-10-03,278,278551.58,261,535.5650400000001,17,6.12,93.88
2025-10-04,266,275840.63,250,488.98582,16,6.02,93.98
2025-10-05,288,343923.25,274,357.51751,14,4.86,95.14
2025-10-06,257,205082.73,239,260.59342000000004,18,7.0,93.0
2025-10-07,298,457524.93,286,128.83540000000002,12,4.03,95.97
2025-10-08,287,335034.26,268,368.52069,19,6.62,93.38
2025-10-09,283,266491.65,266,412.03606,17,6.01,93.99
2025-10-10,257,677790.32,245,618.0204500000001,12,4.67,95.33
2025-10-11,274,333417.49,256,295.68052,18,6.57,93.43
2025-10-12,270,411998.5,253,1407.94304,17,6.3,93.7
2025-10-13,278,280129.42,268,128.70403000000002,10,3.6,96.4
2025-10-14,301,354679.10000000003,278,339.95453000000003,23,7.64,92.36
2025-10-15,268,515025.60000000003,256,756.0073800000001,12,4.48,95.52
2025-10-16,243,282286.33,231,135.89632,12,4.94,95.06
2025-10-17,281,307529.8,258,748.0799400000001,23,8.19,91.81
2025-10-18,284,312398.6,266,354.72162000000003,18,6.34,93.66
2025-10-19,262,342552.75,247,868.9687600000001,15,5.73,94.27
2025-10-20,272,264518.17,264,162.00937000000002,8,2.94,97.06
2025-10-21,291,470478.64,269,378.59848,22,7.56,92.44
2025-10-22,286,212436.38,260,847.55777,26,9.09,90.91
2025-10-23,278,300302.7,258,409.68561000000005,20,7.19,92.81
2025-10-24,307,318882.55,290,365.7364,17,5.54,94.46
2025-10-25,298,328106.32,281,398.08184,17,5.7,94.3
2025-10-26,292,330909.72000000003,276,534.50422,16,5.48,94.52
2025-10-27,259,383107.85,239,433.64483,20,7.72,92.28
2025-10-28,290,382634.09,272,397.87797,18,6.21,93.79
2025-10-29,276,284970.25,261,718.91493,15,5.43,94.57
2025-10-30,277,368277.15,255,765.57622,22,7.94,92.06
2025-10-31,283,289378.51,262,905.55255,21,7.42,92.58
2025-11-01,280,408872.09,270,410.41612000000003,10,3.57,96.43
2025-11-02,292,338490.06,275,329.88283,17,5.82,94.18
2025-11-03,271,434923.44,256,181.14154000000002,15,5.54,94.46
2025-11-04,272,222071.61,260,495.47312,12,4.41,95.59
2025-11-05,307,738358.38,292,331.86324,15,4.89,95.11
2025-11-06,262,505222.64,240,452.78599,22,8.4,91.6
2025-11-07,290,360915.26,267,425.55644,23,7.93,92.07
2025-11-08,280,321084.83,257,1543.88518,23,8.21,91.79
2025-11-09,299,288428.56,282,630.50234,17,5.69,94.31
2025-11-10,280,410369.73,259,918.9285100000001,21,7.5,92.5
2025-11-11,284,272704.62,268,145.78532,16,5.63,94.37
2025-11-12,269,519120.68,251,7781.236500000001,18,6.69,93.31
2025-11-13,287,214478.79,271,494.41839000000004,16,5.57,94.43
2025-11-14,264,391610.0,244,1545.81078,20,7.58,92.42
2025-11-15,280,402633.19,261,1231.14048,19,6.79,93.21
2025-11-16,254,241316.57,236,396.80091000000004,18,7.09,92.91
2025-11-17,308,305072.12,293,352.3964,15,4.87,95.13
2025-11-18,237,289590.55,220,205.05987000000002,17,7.17,92.83
2025-11-19,276,393442.58,255,1008.60028,21,7.61,92.39
2025-11-20,275,408795.16000000003,256,313.42069000000004,19,6.91,93.09
2025-11-21,287,388756.61,265,3599.99185,22,7.67,92.33
2025-11-22,288,417756.38,274,299.90089,14,4.86,95.14
2025-11-23,294,375269.64,275,1573.8468200000002,19,6.46,93.54
2025-11-24,320,446982.41,302,744.10665,18,5.62,94.38
2025-11-25,279,321845.57,261,584.46136,18,6.45,93.55
2025-11-26,287,273775.46,271,172.70399,16,5.57,94.43
2025-11-27,277,271124.85,264,240.62924,13,4.69,95.31
2025-11-28,259,430213.86,238,3124.5992,21,8.11,91.89
2025-11-29,284,400279.83,260,1248.76842,24,8.45,91.55
2025-11-30,275,538290.38,252,1620.5927900000002,23,8.36,91.64
2025-12-01,250,573416.9,236,381.81951000000004,14,5.6,94.4
2025-12-02,245,295501.55,232,148.21871000000002,13,5.31,94.69
2025-12-03,246,282490.41,224,1939.66471,22,8.94,91.06
2025-12-04,281,337614.77999999997,263,348.9436600000001,18,6.41,93.59
2025-12-05,258,379139.99,241,518.93905,17,6.59,93.41
2025-12-06,272,288680.0,258,564.05435,14,5.15,94.85
2025-12-07,279,372707.26,261,615.76918,18,6.45,93.55
2025-12-08,279,309682.82,266,584.30592,13,4.66,95.34
2025-12-09,301,581480.12,282,677.4922,19,6.31,93.69
2025-12-10,256,276778.99,237,1762.3587100000002,19,7.42,92.58
2025-12-11,308,348963.89,292,413.23260000000005,16,5.19,94.81
2025-12-12,260,328956.61,243,291.32704000000007,17,6.54,93.46
2025-12-13,282,362344.22000000003,271,378.88065,11,3.9,96.1
2025-12-14,246,269687.63,235,114.61409,11,4.47,95.53
2025-12-15,269,289402.56,247,657.59211,22,8.18,91.82
2025-12-16,286,361964.24,270,1706.3008399999999,16,5.59,94.41
2025-12-17,279,523769.09,258,1680.0532300000002,21,7.53,92.47
2025-12-18,294,383527.15,280,984.6242400000001,14,4.76,95.24
2025-12-19,297,431764.66000000003,280,582.70483,17,5.72,94.28
2025-12-20,269,342852.61,255,233.47581,14,5.2,94.8
2025-12-21,286,345555.33,272,511.91119000000003,14,4.9,95.1
2025-12-22,266,282044.95,248,1331.6518700000001,18,6.77,93.23
2025-12-23,270,315347.21,255,218.80877,15,5.56,94.44
2025-12-24,305,475058.96,289,317.86175000000003,16,5.25,94.75
2025-12-25,301,334758.19,286,497.1992,15,4.98,95.02
2025-12-26,277,396279.53,253,689.69337,24,8.66,91.34
2025-12-27,291,380276.12,269,1358.9655200000002,22,7.56,92.44
2025-12-28,286,396886.97000000003,264,622.6282600000001,22,7.69,92.31
2025-12-29,269,316702.88,252,814.3620500000002,17,6.32,93.68
2025-12-30,299,383484.12,277,830.88132,22,7.36,92.64
2025-12-31,282,272907.88,264,283.27374000000003,18,6.38,93.62
